Block   SS_time         SS_swaps        SS_compares     IS_time         IS_swaps        IS_compares
389     3.597000        38899           756585550       1.859000        377542792       377542792
390     2.997000        38999           760480500       1.865000        379368593       379368593
391     2.976000        39099           764385450       1.857000        381338143       381338143
392     3.112000        39199           768300400       1.881000        383157460       383157460
393     2.990000        39299           772225350       1.862000        385283919       385283919
394     3.023000        39399           776160300       1.887000        387329114       387329114
395     3.017000        39499           780105250       1.901000        389379616       389379616
396     3.059000        39599           784060200       1.909000        391287952       391287952
397     3.046000        39699           788025150       1.910000        393265916       393265916
398     3.064000        39799           792000100       1.933000        395089220       395089220
399     3.193000        39899           795985050       1.934000        397193267       397193267
400     3.080000        39999           799980000       1.959000        399240410       399240410
401     3.120000        40099           803984950       1.987000        401154553       401154553
402     3.128000        40199           807999900       1.957000        403157845       403157845
403     3.152000        40299           812024850       1.975000        405095530       405095530
404     3.200000        40399           816059800       1.980000        407115926       407115926
405     3.163000        40499           820104750       1.999000        409404733       409404733
406     3.184000        40599           824159700       2.007000        411311886       411311886
407     3.215000        40699           828224650       2.017000        413557756       413557756
408     3.256000        40799           832299600       2.028000        415652385       415652385
409     3.240000        40899           836384550       2.021000        417658832       417658832
410     3.246000        40999           840479500       2.045000        419859866       419859866
411     3.267000        41099           844584450       2.048000        421991051       421991051
412     3.286000        41199           848699400       2.056000        424159271       424159271
413     3.408000        41299           852824350       2.081000        426316077       426316077
414     3.318000        41399           856959300       2.089000        428322108       428322108
415     3.326000        41499           861104250       2.096000        430435898       430435898
416     3.334000        41599           865259200       2.119000        432532043       432532043
417     3.356000        41699           869424150       2.109000        434534949       434534949
418     3.378000        41799           873599100       2.134000        436628628       436628628
419     3.478000        41899           877784050       2.128000        438885164       438885164
420     3.425000        41999           881979000       2.148000        441064498       441064498
421     3.433000        42099           886183950       2.161000        443223898       443223898
422     3.435000        42199           890398900       2.173000        445516148       445516148
423     3.460000        42299           894623850       2.210000        447501350       447501350
424     3.469000        42399           898858800       2.210000        449768375       449768375
425     3.482000        42499           903103750       2.211000        451940597       451940597
426     3.516000        42599           907358700       2.237000        453998141       453998141
427     3.536000        42699           911623650       2.233000        456184618       456184618
428     3.555000        42799           915898600       2.290000        458287143       458287143
429     3.623000        42899           920183550       2.264000        460498189       460498189
430     3.615000        42999           924478500       2.281000        462522483       462522483
431     3.630000        43099           928783450       2.466000        464533738       464533738
432     3.620000        43199           933098400       2.279000        466831144       466831144
433     3.655000        43299           937423350       2.277000        468849757       468849757
434     3.661000        43399           941758300       2.287000        471070580       471070580
435     3.667000        43499           946103250       2.303000        473282126       473282126
436     3.826000        43599           950458200       2.327000        475439228       475439228
437     3.697000        43699           954823150       2.326000        477557070       477557070
438     3.707000        43799           959198100       2.332000        479744791       479744791
439     3.760000        43899           963583050       2.455000        481997697       481997697
440     3.737000        43999           967978000       2.366000        484374994       484374994
441     3.778000        44099           972382950       2.372000        486457777       486457777
442     3.772000        44199           976797900       2.374000        488678245       488678245
443     3.801000        44299           981222850       2.394000        490900240       490900240
444     3.832000        44399           985657800       2.400000        492922076       492922076
445     3.881000        44499           990102750       2.422000        495153520       495153520
446     3.853000        44599           994557700       2.433000        497505912       497505912
447     3.860000        44699           999022650       2.434000        499944972       499944972
448     3.878000        44799           1003497600      2.457000        502044090       502044090
449     3.950000        44899           1007982550      2.478000        504264421       504264421
450     3.923000        44999           1012477500      2.473000        506542343       506542343
451     3.925000        45099           1016982450      2.583000        508854282       508854282
452     3.948000        45199           1021497400      2.489000        511140418       511140418
453     3.972000        45299           1026022350      2.493000        513511241       513511241
454     3.979000        45399           1030557300      2.534000        516002008       516002008
455     4.005000        45499           1035102250      2.530000        518361896       518361896
456     4.053000        45599           1039657200      2.524000        520655100       520655100
457     4.043000        45699           1044222150      2.563000        522858393       522858393
458     4.105000        45799           1048797100      2.555000        525148603       525148603
459     4.086000        45899           1053382050      2.572000        527570439       527570439
460     4.090000        45999           1057977000      2.586000        529892094       529892094
461     4.117000        46099           1062581950      2.681000        532075287       532075287
462     4.145000        46199           1067196900      2.603000        534403711       534403711
463     4.145000        46299           1071821850      2.625000        536683390       536683390
464     4.213000        46399           1076456800      2.617000        538845962       538845962
465     4.183000        46499           1081101750      2.626000        540952613       540952613
466     4.207000        46599           1085756700      2.639000        543322984       543322984
467     4.260000        46699           1090421650      2.672000        545524317       545524317
468     4.238000        46799           1095096600      2.653000        547858946       547858946
469     4.255000        46899           1099781550      2.672000        550407222       550407222
470     4.260000        46999           1104476500      2.729000        552853630       552853630
471     4.289000        47099           1109181450      2.707000        555084136       555084136
472     4.294000        47199           1113896400      2.720000        557424199       557424199
473     4.328000        47299           1118621350      2.726000        559788446       559788446
474     4.337000        47399           1123356300      2.740000        562260352       562260352
475     4.363000        47499           1128101250      2.810000        564504654       564504654
476     4.391000        47599           1132856200      2.929000        566829856       566829856
477     4.620000        47699           1137621150      2.979000        569154086       569154086
478     4.537000        47799           1142396100      2.826000        571500895       571500895
479     4.490000        47899           1147181050      2.814000        573866387       573866387
480     4.492000        47999           1151976000      2.907000        576254271       576254271
481     4.777000        48099           1156780950      2.844000        578475428       578475428
482     4.507000        48199           1161595900      2.841000        580714927       580714927
483     4.502000        48299           1166420850      2.892000        583213699       583213699
484     4.515000        48399           1171255800      2.888000        585594021       585594021
485     4.568000        48499           1176100750      2.870000        588011022       588011022
486     4.644000        48599           1180955700      2.894000        590515654       590515654
487     4.654000        48699           1185820650      2.989000        592770943       592770943
488     4.729000        48799           1190695600      3.091000        595218013       595218013
489     4.671000        48899           1195580550      2.919000        597733227       597733227
490     4.644000        48999           1200475500      2.914000        600287909       600287909
491     4.734000        49099           1205380450      2.925000        602532872       602532872
492     4.705000        49199           1210295400      2.941000        604959130       604959130
493     4.695000        49299           1215220350      2.950000        607596988       607596988
494     4.706000        49399           1220155300      2.979000        610011823       610011823
495     4.730000        49499           1225100250      2.973000        612416725       612416725
496     4.762000        49599           1230055200      3.150000        614773138       614773138
497     4.792000        49699           1235020150      3.000000        617451704       617451704
498     4.798000        49799           1239995100      3.047000        619888696       619888696
499     4.888000        49899           1244980050      3.026000        622487698       622487698
500     4.825000        49999           1249975000      3.048000        624799740       624799740
