Block   QS_time         QS_swaps        QS_compares     MS_time         MS_swaps        MS_compares
533     0.014000        527440          1004478         0.025000        840564          770500  
534     0.016000        516050          1042176         0.018000        842264          771868  
535     0.012000        529557          981938          0.020000        843964          773736  
536     0.016000        451966          1017377         0.022000        845664          775195  
537     0.017000        479418          995091          0.022000        847364          776729  
538     0.016000        520972          1003167         0.021000        849064          778490  
539     0.014000        523993          1037861         0.022000        850764          779901  
540     0.014000        579531          1097555         0.023000        852464          781652  
541     0.016000        487262          1104155         0.025000        854164          783205  
542     0.017000        558626          1054232         0.019000        855864          784750  
543     0.014000        518057          1026355         0.020000        857564          786261  
544     0.015000        526047          1042724         0.017000        859264          788092  
545     0.012000        534112          1062114         0.025000        860964          789543  
546     0.016000        529740          997611          0.021000        862664          791075  
547     0.014000        474576          986840          0.021000        864364          792687  
548     0.014000        535057          1066687         0.019000        866064          794272  
549     0.012000        483466          1008513         0.027000        867764          795903  
550     0.016000        586436          1113256         0.020000        869464          797518  
551     0.015000        510576          1007486         0.020000        871164          799012  
